Company,Car,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine_cc,max_power_bhp,torque,seats,selling_price
Mercedes-Benz,Mercedes-Benz B Class,2014,27800.0,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,200Nm@ 1250-4000rpm,5,1450000.0
Honda,Honda Amaze S,2015,49800.0,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,200Nm@ 1750rpm,5,425000.0
Mitsubishi,Mitsubishi Pajero Sport,2013,151000.0,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,400Nm@ 2000-2500rpm,7,1090000.0
Honda,Honda City i,2015,54700.0,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,200Nm@ 1750rpm,5,600000.0
Maruti,Maruti Ciaz Zeta,2018,64000.0,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,138Nm@ 4400rpm,5,850000.0
Honda,Honda Jazz VX,2015,63000.0,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,200Nm@ 1750rpm,5,525000.0
Toyota,Toyota Innova Crysta,2016,127700.0,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,360Nm@ 1200-3400rpm,7,1650000.0
Toyota,Toyota Innova 2.5,2016,99000.0,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,200Nm@ 1200-3600rpm,7,950000.0
Audi,Audi A6 2,2013,33900.0,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,380Nm@ 1750-2500rpm,5,1750000.0
Toyota,Toyota Corolla Altis,2018,25000.0,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,173Nm@ 4000rpm,5,1590000.0
Audi,Audi A6 2,2013,50000.0,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,400Nm@ 1750-3000rpm,5,1689999.0
Mercedes-Benz,Mercedes-Benz New C-Class,2013,59000.0,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,400Nm@ 1400-2800rpm,5,1425000.0
Tata,Tata Manza ELAN,2011,120000.0,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,200Nm@ 1750-3000rpm,5,265000.0
Hyundai,Hyundai i10 Magna,2011,110000.0,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,111.7Nm@ 4000rpm,5,190000.0
Hyundai,Hyundai i20 Asta,2013,60000.0,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,219.6Nm@ 1500-2750rpm,5,425000.0
Maruti,Maruti Swift Dzire,2015,147000.0,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,190Nm@ 2000rpm,5,630000.0
Ford,Ford Figo 1.2P,2017,25000.0,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,112Nm@ 4000rpm,5,600000.0
Maruti,Maruti Baleno Delta,2019,30000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115Nm@ 4000rpm,5,650000.0
Volkswagen,Volkswagen Ameo 1.5,2016,40000.0,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,250Nm@ 1500-3000rpm,5,540000.0
Honda,Honda City i,2015,135000.0,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,200Nm@ 1750rpm,5,630000.0
Maruti,Maruti Wagon R,2018,30000.0,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,90Nm@ 3500rpm,5,448000.0
Volkswagen,Volkswagen Ameo 1.5,2017,80000.0,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,250Nm@ 1500-3000rpm,5,500000.0
Maruti,Maruti Vitara Brezza,2016,70000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5,745000.0
Maruti,Maruti Vitara Brezza,2019,9850.0,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5,1025000.0
Hyundai,Hyundai i10 Magna,2011,60000.0,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,111.7Nm@ 4000rpm,5,235000.0
Maruti,Maruti Swift VDI,2016,70000.0,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,190Nm@ 2000rpm,5,630000.0
Toyota,Toyota Fortuner 4x4,2015,78000.0,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,343Nm@ 1400-3400rpm,7,1700000.0
Maruti,Maruti Swift Star,2013,120000.0,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,190Nm@ 2000rpm,5,450000.0
Maruti,Maruti Ertiga ZXI,2012,120000.0,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,130Nm@ 4000rpm,7,450000.0
Tata,Tata Indica DLS,2003,70000.0,Diesel,Individual,Manual,First Owner,,,,,,50000.0
Volkswagen,Volkswagen Vento Diesel,2013,170000.0,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,250Nm@ 1500-2500rpm,5,450000.0
Toyota,Toyota Innova 2.5,2016,140000.0,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,200Nm@ 1200-3600rpm,8,1200000.0
Ford,Ford EcoSport 1.5,2015,90000.0,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,205Nm@ 1750-3250rpm,5,610000.0
BMW,BMW X1 sDrive20i,2016,30000.0,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,280Nm@ 1350-4600rpm,5,2500000.0
Maruti,Maruti Celerio ZXI,2017,10000.0,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,90Nm@ 3500rpm,5,484999.0
Datsun,Datsun GO A,2016,49000.0,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,104Nm@ 4000rpm,5,275000.0
Maruti,Maruti Alto 800,2016,32000.0,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,69Nm@ 3500rpm,5,315000.0
Maruti,Maruti Alto 800,2016,38000.0,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,69Nm@ 3500rpm,5,275000.0
Maruti,Maruti Swift VDI,2015,78000.0,Diesel,Dealer,Manual,First Owner,,,,,,475000.0
Hyundai,Hyundai i10 Era,2012,28000.0,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,99.04Nm@ 4500rpm,5,290000.0
Maruti,Maruti Omni 8,2017,32000.0,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,6.1kgm@ 3000rpm,5,280000.0
Maruti,Maruti Wagon R,2010,44000.0,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,77Nm@ 3500rpm,5,225000.0
Volkswagen,Volkswagen Polo 1.2,2015,42000.0,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,110Nm@ 3750rpm,5,455000.0
Hyundai,Hyundai i10 Magna,2015,45000.0,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,99.04Nm@ 4500rpm,5,351000.0
Volkswagen,Volkswagen Vento Petrol,2012,12000.0,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,153Nm@ 3800rpm,5,535000.0
Maruti,Maruti Zen Estilo,2009,55500.0,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,90Nm@ 3500rpm,5,175000.0
Hyundai,Hyundai i20 Asta,2013,61500.0,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,113.7Nm@ 4000rpm,5,525000.0
Maruti,Maruti Swift Dzire,2016,150000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190Nm@ 2000rpm,5,600000.0
Hyundai,Hyundai Xcent 1.2,2016,72000.0,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,114Nm@ 4000rpm,5,565000.0
Maruti,Maruti Alto LX,2008,68000.0,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,62Nm@ 3000rpm,5,120000.0
Hyundai,Hyundai i20 1.4,2017,110000.0,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,219.7Nm@ 1500-2750rpm,5,725000.0
Maruti,Maruti Wagon R,2009,77000.0,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,90Nm@ 3500rpm,5,185000.0
Tata,Tata Manza Aura,2010,100000.0,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,200Nm@ 1750-3000rpm,5,200000.0
Maruti,Maruti Swift VXI,2019,10000.0,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,113Nm@ 4200rpm,5,615000.0
Maruti,Maruti Eeco 7,2016,100000.0,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,101Nm@ 3000rpm,7,270000.0
Maruti,Maruti Baleno Zeta,2018,35000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115Nm@ 4000rpm,5,610000.0
Mahindra,Mahindra Scorpio VLX,2014,70000.0,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,290Nm@ 1800-2800rpm,8,625000.0
Ford,Ford Freestyle Titanium,2020,5000.0,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,120Nm@ 4250rpm,5,400000.0
Hyundai,Hyundai Verna VTVT,2017,37800.0,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,151Nm@ 4850rpm,5,866000.0
Volkswagen,Volkswagen Passat 1.8,2010,114000.0,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,250Nm@ 1500~4500rpm,5,700000.0
Tata,Tata Indica Vista,2010,48000.0,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,96 Nm at 3000 rpm,5,300000.0
Mahindra,Mahindra XUV500 W11,2019,32000.0,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,360Nm@ 1750-2800rpm,7,1700000.0
Tata,Tata Indigo CS,2016,100000.0,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,135Nm@ 2500rpm,5,375000.0
Hyundai,Hyundai Verna 1.6,2013,150000.0,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,259.8Nm@ 1900-2750rpm,5,522000.0
Hyundai,Hyundai i20 Magna,2013,69000.0,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,219.6Nm@ 1500-2750rpm,5,451999.0
Toyota,Toyota Corolla Altis,2009,100000.0,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,173Nm@ 4000rpm,5,300000.0
Maruti,Maruti Celerio VXI,2020,13000.0,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,90Nm@ 3500rpm,5,475000.0
Maruti,Maruti Vitara Brezza,2016,60000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5,780000.0
Maruti,Maruti Swift Dzire,2017,40000.0,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,115Nm@ 4000rpm,5,595000.0
Maruti,Maruti Wagon R,2017,35000.0,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,90Nm@ 3500rpm,5,440000.0
Maruti,Maruti Swift VDI,2010,120000.0,Diesel,Individual,Manual,Second Owner,,,,,,300000.0
Nissan,Nissan Terrano XL,2014,70000.0,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,200Nm@ 1900rpm,5,400000.0
Hyundai,Hyundai Creta 1.6,2016,50000.0,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,259.9Nm@ 1900-2750rpm,5,1140000.0
Ford,Ford EcoSport 1.5,2017,76139.0,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,205Nm@ 1750-3250rpm,5,850000.0
Maruti,Maruti Swift Dzire,2012,175000.0,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,190Nm@ 2000rpm,5,370000.0
Renault,Renault KWID 1,2018,25000.0,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,91Nm@ 4250rpm,5,350000.0
Maruti,Maruti Celerio VXI,2015,40000.0,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,90Nm@ 3500rpm,5,360000.0
Maruti,Maruti Alto LXi,2008,65000.0,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,62Nm@ 3000rpm,5,105000.0
Maruti,Maruti Ertiga VDI,2013,90000.0,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,200Nm@ 1750rpm,7,625000.0
Hyundai,Hyundai Santro Xing,2009,80000.0,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,96.1Nm@ 3000rpm,5,135000.0
Maruti,Maruti Ertiga VDI,2015,110000.0,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,200Nm@ 1750rpm,7,700000.0
Honda,Honda Amaze S,2019,1303.0,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,109Nm@ 4500rpm,5,690000.0
Audi,Audi Q5 35TDI,2018,31800.0,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188.0,400nm@ 1750-3000rpm,5,3975000.0
Lexus,Lexus ES 300h,2019,20000.0,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,202Nm@ 3600-5200rpm,5,5150000.0
Jaguar,Jaguar XF 2,2017,45000.0,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,430Nm@ 1750-2500rpm,5,3200000.0
Jeep,Jeep Wrangler 2016-2019,2017,17000.0,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280.0,347Nm@ 4300rpm,5,4100000.0
Land,Land Rover Discovery,2019,21000.0,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,148.31,382nm@ 1750-2250rpm,7,4500000.0
Mercedes-Benz,Mercedes-Benz S-Class S,2017,37000.0,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,254.79,620Nm@ 1600-2400rpm,5,6000000.0
BMW,BMW 5 Series,2018,29500.0,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,400Nm@ 1750-2500rpm,5,3790000.0
BMW,BMW X1 sDrive,2017,27000.0,Diesel,Dealer,Automatic,First Owner,,,,,,2150000.0
BMW,BMW X4 M,2019,7500.0,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,400Nm@ 1750-2500rpm,5,5800000.0
Skoda,Skoda Superb LK,2018,50000.0,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,250@ 1250-5000rpm,5,1864999.0
Mercedes-Benz,Mercedes-Benz E-Class E250,2016,35000.0,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,500Nm@ 1600-1800rpm,5,2700000.0
MG,MG Hector Sharp,2019,19000.0,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,250Nm@ 1600-3600rpm,5,1750000.0
Honda,Honda City i-VTEC,2017,41000.0,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,145Nm@ 4600rpm,5,795000.0
Toyota,Toyota Corolla Altis,2013,39000.0,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,173Nm@ 4000rpm,5,625000.0
Volvo,Volvo XC40 D4,2018,22000.0,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,400Nm,5,3400000.0
Audi,Audi Q7 35,2015,53000.0,Diesel,Dealer,Automatic,First Owner,12.07,2967.0,241.4,550Nm@ 1750-2750rpm,7,2650000.0
Maruti,Maruti Ciaz ZDi,2015,40000.0,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,200Nm@ 1750rpm,5,535000.0
Mercedes-Benz,Mercedes-Benz S-Class S,2017,47000.0,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,282.0,490Nm@ 1600rpm,5,5850000.0
BMW,BMW 5 Series,2010,72200.0,Petrol,Dealer,Automatic,Second Owner,10.8,2497.0,150.0,250 Nm at 2750 rpm,5,975000.0
Hyundai,Hyundai Elantra S,2016,49900.0,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,177.5Nm@ 4700rpm,5,805000.0
Jaguar,Jaguar XE 2016-2019,2017,9000.0,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,430Nm@ 1750-2500rpm,5,2625000.0
Tata,Tata Nexon 1.2,2018,11000.0,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,170Nm@ 1750-4000rpm,5,811000.0
Volkswagen,Volkswagen Vento Petrol,2011,49000.0,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,153Nm@ 3800rpm,5,375000.0
Hyundai,Hyundai Elantra SX,2012,95000.0,Petrol,Individual,Manual,First Owner,16.3,1797.0,147.5,177.5Nm@ 4700rpm,5,550000.0
Skoda,Skoda Rapid 1.6,2016,11000.0,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,153Nm@ 3800rpm,5,645000.0
Mercedes-Benz,Mercedes-Benz CLA 200,2018,18000.0,Petrol,Dealer,Automatic,First Owner,15.04,1991.0,183.0,300Nm@ 1200-4000rpm,5,2550000.0
Maruti,Maruti Ertiga ZXI,2014,46100.0,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,130Nm@ 4000rpm,7,599000.0
Mercedes-Benz,Mercedes-Benz New C-Class,2017,16000.0,Petrol,Dealer,Automatic,First Owner,14.74,1991.0,181.04,300Nm@ 1200-1400rpm,5,2700000.0
Honda,Honda City V,2017,18000.0,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,146Nm@ 4800rpm,5,875000.0
Toyota,Toyota Glanza V,2019,9654.0,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,113Nm@ 4200rpm,5,894999.0
Maruti,Maruti Alto K10,2011,11000.0,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,90Nm@ 3500rpm,5,175000.0
Maruti,Maruti Swift VXI,2012,24300.0,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,113Nm@ 4200rpm,5,340000.0
Toyota,Toyota Innova Crysta,2016,42163.0,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,360Nm@ 1200-3400rpm,7,1525000.0
Tata,Tata Nexon 1.5,2018,8000.0,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,260Nm@ 1500-2750rpm,5,1025000.0
BMW,BMW 3 Series,2016,30000.0,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,400Nm@ 1750-2500rpm,5,2150000.0
Toyota,Toyota Camry 2.5,2016,41000.0,Petrol,Dealer,Automatic,First Owner,19.16,2494.0,157.7,213Nm@ 4500rpm,5,1900000.0
BMW,BMW 5 Series,2016,12000.0,Diesel,Dealer,Automatic,First Owner,18.12,1995.0,190.0,400Nm@ 1750-2500rpm,5,2900000.0
Toyota,Toyota Camry W4,2009,71000.0,Petrol,Dealer,Automatic,First Owner,12.1,2362.0,164.7,224Nm@ 4000rpm,5,450000.0
Maruti,Maruti Ertiga BSIV,2016,20000.0,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,130Nm@ 4000rpm,7,850000.0
Volvo,Volvo XC90 T8,2017,30000.0,Petrol,Individual,Automatic,First Owner,42.0,1969.0,400.0,640Nm@ 1740rpm,4,10000000.0
Volkswagen,Volkswagen Vento Diesel,2011,100000.0,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,250Nm@ 1500-2500rpm,5,300000.0
Ford,Ford Figo Aspire,2018,9500.0,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,112Nm@ 4000rpm,5,575000.0
Ford,Ford Figo Diesel,2011,120000.0,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,160Nm@ 2000rpm,5,160000.0
Maruti,Maruti Swift VXI,2015,36600.0,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,113Nm@ 4200rpm,5,515000.0
Maruti,Maruti Wagon R,2015,50000.0,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,90Nm@ 3500rpm,5,390000.0
Hyundai,Hyundai i20 Magna,2016,14000.0,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,114.7Nm@ 4000rpm,5,550000.0
Maruti,Maruti 800 Std,1999,40000.0,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,59Nm@ 2500rpm,4,40000.0
Maruti,Maruti Ritz VDi,2010,120000.0,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,113Nm@ 4500rpm,5,220000.0
