name,Company,Car,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine_cc,max_power_bhp,seats,selling_price,max_torque,at_rpm
Maruti Zen LX,Maruti,Maruti Zen LX,2005,100000,Petrol,Individual,Manual,Second Owner,17.3 kmpl,993 ,60 ,5.0,92000,78Nm, 4500rpm
Maruti Swift Dzire VDi,Maruti,Maruti Swift Dzire,2009,140000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 ,73.9 ,5.0,280000,190Nm, 2000rpm
Maruti Swift 1.3 VXi,Maruti,Maruti Swift 1.3,2007,80000,Petrol,Individual,Manual,Second Owner,,,,,200000,,
Maruti Wagon R LXI Minor,Maruti,Maruti Wagon R,2009,90000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1061 ,67 ,5.0,180000,84Nm, 3500rpm
Mahindra KUV 100 mFALCON G80 K8 5str,Mahindra,Mahindra KUV 100,2016,40000,Petrol,Individual,Manual,First Owner,18.15 kmpl,1198 ,82 ,5.0,400000,115Nm, 3500-3600rpm
Maruti Ertiga SHVS VDI,Maruti,Maruti Ertiga SHVS,2016,70000,Diesel,Individual,Manual,Second Owner,24.52 kmpl,1248 ,88.5 ,7.0,778000,200Nm, 1750rpm
Hyundai i20 1.4 CRDi Asta,Hyundai,Hyundai i20 1.4,2012,53000,Diesel,Individual,Manual,Second Owner,23.0 kmpl,1396 ,90 ,5.0,500000,22.4 kgm ,t 1750-2750rpm
Maruti Alto LX,Maruti,Maruti Alto LX,2002,80000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 ,46.3 ,5.0,150000,62Nm, 3000rpm
Hyundai i20 2015-2017 Asta 1.4 CRDi,Hyundai,Hyundai i20 2015-2017,2016,100000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 ,88.73 ,5.0,680000,219.7Nm, 1500-2750rpm
Mahindra Verito 1.5 D4 BSIII,Mahindra,Mahindra Verito 1.5,2011,100000,Diesel,Individual,Manual,Second Owner,21.0 kmpl,1461 ,64.1 ,5.0,174000,160Nm, 2000rpm
Honda WR-V i-DTEC VX,Honda,Honda WR-V i-DTEC,2017,50000,Diesel,Individual,Manual,First Owner,25.5 kmpl,1498 ,98.6 ,5.0,950000,200Nm, 1750rpm
Maruti Swift Dzire ZDI,Maruti,Maruti Swift Dzire,2015,40000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 ,74 ,5.0,525000,190Nm, 2000rpm
Maruti SX4 ZDI,Maruti,Maruti SX4 ZDI,2012,72000,Diesel,Individual,Manual,First Owner,21.5 kmpl,1248 ,88.8 ,5.0,600000,200Nm, 1750rpm
Tata Tigor 2017-2020 XZ,Tata,Tata Tigor 2017-2020,2018,35000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1199 ,83.81 ,5.0,500000,114Nm, 3500rpm
Maruti Baleno Delta 1.2,Maruti,Maruti Baleno Delta,2016,45000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 ,83.1 ,5.0,575000,115Nm, 4000rpm
Maruti Alto 800 LXI,Maruti,Maruti Alto 800,2017,28000,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 ,47.3 ,5.0,275000,69Nm, 3500rpm
Chevrolet Enjoy TCDi LTZ 7 Seater,Chevrolet,Chevrolet Enjoy TCDi,2013,70000,Diesel,Individual,Manual,First Owner,18.2 kmpl,1248 ,73.8 ,7.0,300000,172.5Nm, 1750rpm
Maruti Wagon R LXI Minor,Maruti,Maruti Wagon R,2009,120000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1061 ,67 ,5.0,220000,84Nm, 3500rpm
Maruti Omni E MPI STD BS IV,Maruti,Maruti Omni E,2018,25000,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 ,34.2 ,8.0,254999,59Nm, 2500rpm
Maruti Vitara Brezza LDi Option,Maruti,Maruti Vitara Brezza,2017,70000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 ,88.5 ,5.0,670000,200Nm, 1750rpm
Fiat Palio 1.2 ELX,Fiat,Fiat Palio 1.2,2003,50000,Petrol,Individual,Manual,Second Owner,,,,,70000,,
Maruti Omni 8 Seater BSIV,Maruti,Maruti Omni 8,2012,35000,Petrol,Individual,Manual,Second Owner,14.0 kmpl,796 ,35 ,5.0,150000,6.1kgm, 3000rpm
Hyundai i20 1.2 Asta Dual Tone,Hyundai,Hyundai i20 1.2,2018,2388,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 ,81.83 ,5.0,730000,114.7Nm, 4000rpm
Maruti Vitara Brezza LDi,Maruti,Maruti Vitara Brezza,2017,16200,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 ,88.5 ,5.0,650000,200Nm, 1750rpm
Maruti Alto 800 CNG LXI Optional,Maruti,Maruti Alto 800,2019,10000,CNG,Individual,Manual,Second Owner,33.44 km/kg,796 ,40.3 ,4.0,330000,60Nm, 3500rpm
Maruti Alto K10 VXI Airbag,Maruti,Maruti Alto K10,2019,15000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 ,67.1 ,5.0,366000,90Nm, 3500rpm
Hyundai Verna VTVT 1.6 SX Option,Hyundai,Hyundai Verna VTVT,2019,5000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 ,121.3 ,5.0,1149000,151Nm, 4850rpm
Datsun GO D,Datsun,Datsun GO D,2016,42000,Petrol,Individual,Manual,First Owner,20.63 kmpl,1198 ,67 ,5.0,150000,104Nm, 4000rpm
Tata Safari DICOR 2.2 LX 4x2,Tata,Tata Safari DICOR,2011,60000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 ,138.03 ,7.0,425000,320Nm, 1700-2700rpm
Maruti 800 Std,Maruti,Maruti 800 Std,2012,76000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 ,37 ,4.0,150000,59Nm, 2500rpm
Jeep Compass 1.4 Limited Plus BSIV,Jeep,Jeep Compass 1.4,2019,5000,Petrol,Individual,Automatic,First Owner,16.0 kmpl,1368 ,160.77 ,5.0,2100000,250Nm, 1750-2500rpm
Honda City i VTEC VX,Honda,Honda City i,2018,28900,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1497 ,117.3 ,5.0,925000,145Nm, 4600rpm
Honda City V MT,Honda,Honda City V,2013,86300,Petrol,Dealer,Manual,First Owner,16.8 kmpl,1497 ,116.3 ,5.0,425000,146Nm, 4800rpm
Maruti Swift Dzire VXi AT,Maruti,Maruti Swift Dzire,2018,23300,Petrol,Dealer,Automatic,First Owner,18.5 kmpl,1197 ,83.14 ,5.0,675000,115Nm, 4000rpm
Maruti Vitara Brezza VDi,Maruti,Maruti Vitara Brezza,2018,32600,Diesel,Dealer,Manual,First Owner,24.3 kmpl,1248 ,88.5 ,5.0,819999,200Nm, 1750rpm
Maruti Alto K10 VXI,Maruti,Maruti Alto K10,2018,10300,Petrol,Dealer,Manual,First Owner,23.95 kmpl,998 ,67.05 ,5.0,390000,90Nm, 3500rpm
Toyota Fortuner 4x4 MT,Toyota,Toyota Fortuner 4x4,2014,77000,Diesel,Dealer,Manual,First Owner,12.55 kmpl,2982 ,168.5 ,7.0,1500000,343Nm, 1400-3400rpm
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,Toyota Innova 2.5,2013,99000,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 ,100 ,7.0,700000,200Nm, 1400-3400rpm
Mercedes-Benz B Class B180,Mercedes-Benz,Mercedes-Benz B Class,2014,27800,Diesel,Dealer,Automatic,Second Owner,14.8 kmpl,2143 ,120.7 ,5.0,1450000,200Nm, 1250-4000rpm
Honda Amaze S Diesel,Honda,Honda Amaze S,2015,49800,Diesel,Dealer,Manual,First Owner,24.7 kmpl,1498 ,98.63 ,5.0,425000,200Nm, 1750rpm
Mitsubishi Pajero Sport 4X4,Mitsubishi,Mitsubishi Pajero Sport,2013,151000,Diesel,Dealer,Manual,First Owner,13.5 kmpl,2477 ,175.56 ,7.0,1090000,400Nm, 2000-2500rpm
Honda City i DTEC S,Honda,Honda City i,2015,54700,Diesel,Dealer,Manual,First Owner,26.0 kmpl,1498 ,98.6 ,5.0,600000,200Nm, 1750rpm
Maruti Ciaz Zeta,Maruti,Maruti Ciaz Zeta,2018,64000,Petrol,Dealer,Manual,First Owner,20.65 kmpl,1462 ,103.25 ,5.0,850000,138Nm, 4400rpm
Honda Jazz VX Diesel,Honda,Honda Jazz VX,2015,63000,Diesel,Dealer,Manual,First Owner,27.3 kmpl,1498 ,98.6 ,5.0,525000,200Nm, 1750rpm
Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,Toyota Innova Crysta,2016,127700,Diesel,Dealer,Automatic,Second Owner,11.36 kmpl,2755 ,171.5 ,7.0,1650000,360Nm, 1200-3400rpm
Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,Toyota Innova 2.5,2016,99000,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 ,100.6 ,7.0,950000,200Nm, 1200-3600rpm
Audi A6 2.0 TDI Technology,Audi,Audi A6 2,2013,33900,Diesel,Dealer,Automatic,Second Owner,17.68 kmpl,1968 ,174.33 ,5.0,1750000,380Nm, 1750-2500rpm
Toyota Corolla Altis 1.8 VL CVT,Toyota,Toyota Corolla Altis,2018,25000,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 ,138.03 ,5.0,1590000,173Nm, 4000rpm
Audi A6 2.0 TDI  Design Edition,Audi,Audi A6 2,2013,50000,Diesel,Dealer,Automatic,First Owner,18.53 kmpl,1968 ,187.74 ,5.0,1689999,400Nm, 1750-3000rpm
Mercedes-Benz New C-Class 220 CDI AT,Mercedes-Benz,Mercedes-Benz New C-Class,2013,59000,Diesel,Dealer,Automatic,First Owner,14.84 kmpl,2143 ,170 ,5.0,1425000,400Nm, 1400-2800rpm
Tata Manza ELAN Quadrajet BS IV,Tata,Tata Manza ELAN,2011,120000,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 ,88.8 ,5.0,265000,200Nm, 1750-3000rpm
Hyundai i10 Magna,Hyundai,Hyundai i10 Magna,2011,110000,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 ,78.9 ,5.0,190000,111.7Nm, 4000rpm
Hyundai i20 Asta 1.4 CRDi,Hyundai,Hyundai i20 Asta,2013,60000,Diesel,Individual,Manual,First Owner,21.27 kmpl,1396 ,88.76 ,5.0,425000,219.6Nm, 1500-2750rpm
Maruti Swift Dzire ZDI,Maruti,Maruti Swift Dzire,2015,147000,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 ,74 ,5.0,630000,190Nm, 2000rpm
Ford Figo 1.2P Titanium MT,Ford,Ford Figo 1.2P,2017,25000,Petrol,Individual,Manual,Third Owner,18.16 kmpl,1196 ,86.8 ,5.0,600000,112Nm, 4000rpm
Maruti Baleno Delta 1.2,Maruti,Maruti Baleno Delta,2019,30000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 ,83.1 ,5.0,650000,115Nm, 4000rpm
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,Volkswagen,Volkswagen Ameo 1.5,2016,40000,Diesel,Individual,Manual,First Owner,22.0 kmpl,1498 ,108.495 ,5.0,540000,250Nm, 1500-3000rpm
Honda City i DTEC VX,Honda,Honda City i,2015,135000,Diesel,Individual,Manual,First Owner,25.1 kmpl,1498 ,98.6 ,5.0,630000,200Nm, 1750rpm
Maruti Wagon R AMT VXI,Maruti,Maruti Wagon R,2018,30000,Petrol,Individual,Automatic,First Owner,20.51 kmpl,998 ,67 ,5.0,448000,90Nm, 3500rpm
Volkswagen Ameo 1.5 TDI Comfortline,Volkswagen,Volkswagen Ameo 1.5,2017,80000,Diesel,Individual,Manual,First Owner,21.66 kmpl,1498 ,108.62 ,5.0,500000,250Nm, 1500-3000rpm
Maruti Vitara Brezza VDi,Maruti,Maruti Vitara Brezza,2016,70000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 ,88.5 ,5.0,745000,200Nm, 1750rpm
Maruti Vitara Brezza ZDi Plus AMT,Maruti,Maruti Vitara Brezza,2019,9850,Diesel,Individual,Automatic,First Owner,24.3 kmpl,1248 ,88.5 ,5.0,1025000,200Nm, 1750rpm
Hyundai i10 Magna,Hyundai,Hyundai i10 Magna,2011,60000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 ,78.9 ,5.0,235000,111.7Nm, 4000rpm
Maruti Swift VDI Deca,Maruti,Maruti Swift VDI,2016,70000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 ,74 ,5.0,630000,190Nm, 2000rpm
Toyota Fortuner 4x4 MT,Toyota,Toyota Fortuner 4x4,2015,78000,Diesel,Individual,Manual,Second Owner,12.55 kmpl,2982 ,168.5 ,7.0,1700000,343Nm, 1400-3400rpm
Maruti Swift Star VDI,Maruti,Maruti Swift Star,2013,120000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 ,74 ,5.0,450000,190Nm, 2000rpm
Maruti Ertiga ZXI,Maruti,Maruti Ertiga ZXI,2012,120000,Petrol,Individual,Manual,Second Owner,16.02 kmpl,1373 ,93.7 ,7.0,450000,130Nm, 4000rpm
Tata Indica DLS,Tata,Tata Indica DLS,2003,70000,Diesel,Individual,Manual,First Owner,,,,,50000,,
Volkswagen Vento Diesel Highline,Volkswagen,Volkswagen Vento Diesel,2013,170000,Diesel,Individual,Manual,First Owner,20.54 kmpl,1598 ,103.6 ,5.0,450000,250Nm, 1500-2500rpm
Toyota Innova 2.5 VX (Diesel) 8 Seater,Toyota,Toyota Innova 2.5,2016,140000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 ,100.6 ,8.0,1200000,200Nm, 1200-3600rpm
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,Ford,Ford EcoSport 1.5,2015,90000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 ,98.59 ,5.0,610000,205Nm, 1750-3250rpm
BMW X1 sDrive20i xLine,BMW,BMW X1 sDrive20i,2016,30000,Petrol,Individual,Automatic,Second Owner,15.71 kmpl,1998 ,189 ,5.0,2500000,280Nm, 1350-4600rpm
Maruti Celerio ZXI MT BSIV,Maruti,Maruti Celerio ZXI,2017,10000,Petrol,Dealer,Manual,First Owner,23.1 kmpl,998 ,67.04 ,5.0,484999,90Nm, 3500rpm
Datsun GO A Petrol,Datsun,Datsun GO A,2016,49000,Petrol,Dealer,Manual,First Owner,19.02 kmpl,1198 ,67.05 ,5.0,275000,104Nm, 4000rpm
Maruti Alto 800 VXI BSIV,Maruti,Maruti Alto 800,2016,32000,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 ,47.3 ,5.0,315000,69Nm, 3500rpm
Maruti Alto 800 LXI BSIV,Maruti,Maruti Alto 800,2016,38000,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 ,47.3 ,5.0,275000,69Nm, 3500rpm
Maruti Swift VDI BSIV W ABS,Maruti,Maruti Swift VDI,2015,78000,Diesel,Dealer,Manual,First Owner,,,,,475000,,
Hyundai i10 Era 1.1,Hyundai,Hyundai i10 Era,2012,28000,Petrol,Dealer,Manual,First Owner,19.81 kmpl,1086 ,68.05 ,5.0,290000,99.04Nm, 4500rpm
Maruti Omni 8 Seater BSIV,Maruti,Maruti Omni 8,2017,32000,Petrol,Dealer,Manual,First Owner,14.0 kmpl,796 ,35 ,5.0,280000,6.1kgm, 3000rpm
Maruti Wagon R LXI LPG BSIV,Maruti,Maruti Wagon R,2010,44000,LPG,Dealer,Manual,First Owner,26.2 km/kg,998 ,58.2 ,5.0,225000,77Nm, 3500rpm
Volkswagen Polo 1.2 MPI Comfortline,Volkswagen,Volkswagen Polo 1.2,2015,42000,Petrol,Dealer,Manual,First Owner,16.47 kmpl,1198 ,74 ,5.0,455000,110Nm, 3750rpm
Hyundai i10 Magna 1.1L,Hyundai,Hyundai i10 Magna,2015,45000,Petrol,Dealer,Manual,Second Owner,19.81 kmpl,1086 ,68.05 ,5.0,351000,99.04Nm, 4500rpm
Volkswagen Vento Petrol Highline,Volkswagen,Volkswagen Vento Petrol,2012,12000,Petrol,Dealer,Manual,Second Owner,15.04 kmpl,1598 ,103.6 ,5.0,535000,153Nm, 3800rpm
Maruti Zen Estilo LXI BSIII,Maruti,Maruti Zen Estilo,2009,55500,Petrol,Dealer,Manual,First Owner,18.2 kmpl,998 ,67.1 ,5.0,175000,90Nm, 3500rpm
Hyundai i20 Asta Optional with Sunroof 1.2,Hyundai,Hyundai i20 Asta,2013,61500,Petrol,Dealer,Manual,First Owner,18.5 kmpl,1197 ,82.85 ,5.0,525000,113.7Nm, 4000rpm
Maruti Swift Dzire LDI,Maruti,Maruti Swift Dzire,2016,150000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 ,74 ,5.0,600000,190Nm, 2000rpm
Hyundai Xcent 1.2 Kappa SX Option AT,Hyundai,Hyundai Xcent 1.2,2016,72000,Petrol,Dealer,Automatic,First Owner,19.1 kmpl,1197 ,82 ,5.0,565000,114Nm, 4000rpm
Maruti Alto LX BSIII,Maruti,Maruti Alto LX,2008,68000,Petrol,Dealer,Manual,Third Owner,19.7 kmpl,796 ,46.3 ,5.0,120000,62Nm, 3000rpm
Hyundai i20 1.4 Asta Option,Hyundai,Hyundai i20 1.4,2017,110000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 ,88.73 ,5.0,725000,219.7Nm, 1500-2750rpm
Maruti Wagon R VXI,Maruti,Maruti Wagon R,2009,77000,Petrol,Dealer,Manual,Second Owner,21.79 kmpl,998 ,67.05 ,5.0,185000,90Nm, 3500rpm
Tata Manza Aura (ABS) Quadrajet,Tata,Tata Manza Aura,2010,100000,Diesel,Individual,Manual,Second Owner,18.8 kmpl,1248 ,90 ,5.0,200000,200Nm, 1750-3000rpm
Maruti Swift VXI,Maruti,Maruti Swift VXI,2019,10000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 ,81.80 ,5.0,615000,113Nm, 4200rpm
Maruti Eeco 7 Seater Standard BSIV,Maruti,Maruti Eeco 7,2016,100000,Petrol,Individual,Manual,Third Owner,15.37 kmpl,1196 ,73 ,7.0,270000,101Nm, 3000rpm
Maruti Baleno Zeta 1.2,Maruti,Maruti Baleno Zeta,2018,35000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 ,83.1 ,5.0,610000,115Nm, 4000rpm
Mahindra Scorpio VLX AT AIRBAG BSIV,Mahindra,Mahindra Scorpio VLX,2014,70000,Diesel,Individual,Automatic,Second Owner,11.79 kmpl,2179 ,120 ,8.0,625000,290Nm, 1800-2800rpm
Ford Freestyle Titanium Petrol BSIV,Ford,Ford Freestyle Titanium,2020,5000,Petrol,Individual,Manual,Second Owner,19.0 kmpl,1194 ,94.68 ,5.0,400000,120Nm, 4250rpm
Hyundai Verna VTVT 1.6 SX,Hyundai,Hyundai Verna VTVT,2017,37800,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 ,121.3 ,5.0,866000,151Nm, 4850rpm
Volkswagen Passat 1.8 TSI MT,Volkswagen,Volkswagen Passat 1.8,2010,114000,Petrol,Individual,Manual,First Owner,14.3 kmpl,1798 ,160 ,5.0,700000,250Nm, 1500~4500rpm
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,Tata,Tata Indica Vista,2010,48000,Petrol,Individual,Manual,First Owner,15.8 kmpl,1172 ,65 ,5.0,300000,96 Nm ,t 3000 rpm
Mahindra XUV500 W11 Option AWD,Mahindra,Mahindra XUV500 W11,2019,32000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 ,155 ,7.0,1700000,360Nm, 1750-2800rpm
Tata Indigo CS LS (TDI) BS-III,Tata,Tata Indigo CS,2016,100000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 ,69.01 ,5.0,375000,135Nm, 2500rpm
Hyundai Verna 1.6 SX,Hyundai,Hyundai Verna 1.6,2013,150000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 ,126.32 ,5.0,522000,259.8Nm, 1900-2750rpm
Hyundai i20 Magna 1.4 CRDi (Diesel),Hyundai,Hyundai i20 Magna,2013,69000,Diesel,Individual,Manual,First Owner,21.9 kmpl,1396 ,88.76 ,5.0,451999,219.6Nm, 1500-2750rpm
Toyota Corolla Altis G,Toyota,Toyota Corolla Altis,2009,100000,Petrol,Individual,Manual,Second Owner,14.53 kmpl,1798 ,138.1 ,5.0,300000,173Nm, 4000rpm
Maruti Celerio VXI,Maruti,Maruti Celerio VXI,2020,13000,Petrol,Individual,Manual,First Owner,21.63 kmpl,998 ,67.04 ,5.0,475000,90Nm, 3500rpm
Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,Maruti Vitara Brezza,2016,60000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 ,88.5 ,5.0,780000,200Nm, 1750rpm
Maruti Swift Dzire VXI,Maruti,Maruti Swift Dzire,2017,40000,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 ,83.14 ,5.0,595000,115Nm, 4000rpm
Maruti Wagon R VXI BS IV,Maruti,Maruti Wagon R,2017,35000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 ,67.04 ,5.0,440000,90Nm, 3500rpm
Maruti Swift VDI BSIV,Maruti,Maruti Swift VDI,2010,120000,Diesel,Individual,Manual,Second Owner,,,,,300000,,
Nissan Terrano XL 85 PS,Nissan,Nissan Terrano XL,2014,70000,Diesel,Individual,Manual,Third Owner,20.45 kmpl,1461 ,83.8 ,5.0,400000,200Nm, 1900rpm
Hyundai Creta 1.6 CRDi SX,Hyundai,Hyundai Creta 1.6,2016,50000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 ,126.2 ,5.0,1140000,259.9Nm, 1900-2750rpm
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,Ford,Ford EcoSport 1.5,2017,76139,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 ,98.96 ,5.0,850000,205Nm, 1750-3250rpm
Maruti Swift Dzire VDi,Maruti,Maruti Swift Dzire,2012,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3 kmpl,1248 ,73.9 ,5.0,370000,190Nm, 2000rpm
Renault KWID 1.0,Renault,Renault KWID 1,2018,25000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 ,67 ,5.0,350000,91Nm, 4250rpm
Maruti Celerio VXI,Maruti,Maruti Celerio VXI,2015,40000,Petrol,Individual,Manual,Second Owner,23.1 kmpl,998 ,67.04 ,5.0,360000,90Nm, 3500rpm
Maruti Alto LXi,Maruti,Maruti Alto LXi,2008,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 ,46.3 ,5.0,105000,62Nm, 3000rpm
Maruti Ertiga VDI,Maruti,Maruti Ertiga VDI,2013,90000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 ,88.76 ,7.0,625000,200Nm, 1750rpm
Hyundai Santro Xing GLS,Hyundai,Hyundai Santro Xing,2009,80000,Petrol,Individual,Manual,Second Owner,17.92 kmpl,1086 ,62.1 ,5.0,135000,96.1Nm, 3000rpm
Maruti Ertiga VDI,Maruti,Maruti Ertiga VDI,2015,110000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 ,88.76 ,7.0,700000,200Nm, 1750rpm
Honda Amaze S i-VTEC,Honda,Honda Amaze S,2019,1303,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1198 ,86.7 ,5.0,690000,109Nm, 4500rpm
Audi Q5 35TDI Premium Plus,Audi,Audi Q5 35TDI,2018,31800,Diesel,Dealer,Automatic,First Owner,17.01 kmpl,1968 ,188 ,5.0,3975000,400nm, 1750-3000rpm
Lexus ES 300h,Lexus,Lexus ES 300h,2019,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 ,214.56 ,5.0,5150000,202Nm, 3600-5200rpm
Jaguar XF 2.0 Diesel Portfolio,Jaguar,Jaguar XF 2,2017,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 ,177 ,5.0,3200000,430Nm, 1750-2500rpm
Jeep Wrangler 2016-2019 3.6 4X4,Jeep,Jeep Wrangler 2016-2019,2017,17000,Petrol,Individual,Automatic,First Owner,9.5 kmpl,3604 ,280 ,5.0,4100000,347Nm, 4300rpm
Land Rover Discovery Sport TD4 SE,Land,Land Rover Discovery,2019,21000,Diesel,Dealer,Automatic,First Owner,12.83 kmpl,1999 ,148.31 ,7.0,4500000,382nm, 1750-2250rpm
Mercedes-Benz S-Class S 350 CDI,Mercedes-Benz,Mercedes-Benz S-Class S,2017,37000,Diesel,Dealer,Automatic,First Owner,13.5 kmpl,2987 ,254.79 ,5.0,6000000,620Nm, 1600-2400rpm
BMW 5 Series 520d Sport Line,BMW,BMW 5 Series,2018,29500,Diesel,Dealer,Automatic,First Owner,22.48 kmpl,1995 ,187.74 ,5.0,3790000,400Nm, 1750-2500rpm
BMW X1 sDrive 20D xLine,BMW,BMW X1 sDrive,2017,27000,Diesel,Dealer,Automatic,First Owner,,,,,2150000,,
BMW X4 M Sport X xDrive20d,BMW,BMW X4 M,2019,7500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 ,190 ,5.0,5800000,400Nm, 1750-2500rpm
Skoda Superb LK 1.8 TSI AT,Skoda,Skoda Superb LK,2018,50000,Petrol,Dealer,Automatic,First Owner,14.67 kmpl,1798 ,177.46 ,5.0,1864999,250, 1250-5000rpm
