name,Company,Car,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,selling_price
Hyundai i20 Magna 1.4 CRDi (Diesel),Hyundai,Hyundai i20 Magna,2013,69000,Diesel,Individual,Manual,First Owner,21.9 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5,451999
Toyota Corolla Altis G,Toyota,Toyota Corolla Altis,2009,100000,Petrol,Individual,Manual,Second Owner,14.53 kmpl,1798 CC,138.1 bhp,173Nm@ 4000rpm,5,300000
Maruti Celerio VXI,Maruti,Maruti Celerio VXI,2020,13000,Petrol,Individual,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,475000
Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,Maruti Vitara Brezza,2016,60000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,780000
Maruti Swift Dzire VXI,Maruti,Maruti Swift Dzire,2017,40000,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,595000
Maruti Wagon R VXI BS IV,Maruti,Maruti Wagon R,2017,35000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,440000
Maruti Swift VDI BSIV,Maruti,Maruti Swift VDI,2010,120000,Diesel,Individual,Manual,Second Owner,,,,,,300000
Nissan Terrano XL 85 PS,Nissan,Nissan Terrano XL,2014,70000,Diesel,Individual,Manual,Third Owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5,400000
Hyundai Creta 1.6 CRDi SX,Hyundai,Hyundai Creta 1.6,2016,50000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,1140000
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,Ford,Ford EcoSport 1.5,2017,76139,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5,850000
Maruti Swift Dzire VDi,Maruti,Maruti Swift Dzire,2012,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,370000
Renault KWID 1.0,Renault,Renault KWID 1,2018,25000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5,350000
Maruti Celerio VXI,Maruti,Maruti Celerio VXI,2015,40000,Petrol,Individual,Manual,Second Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,360000
Maruti Alto LXi,Maruti,Maruti Alto LXi,2008,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,105000
Maruti Ertiga VDI,Maruti,Maruti Ertiga VDI,2013,90000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,625000
Hyundai Santro Xing GLS,Hyundai,Hyundai Santro Xing,2009,80000,Petrol,Individual,Manual,Second Owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5,135000
Maruti Ertiga VDI,Maruti,Maruti Ertiga VDI,2015,110000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,700000
Honda Amaze S i-VTEC,Honda,Honda Amaze S,2019,1303,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1198 CC,86.7 bhp,109Nm@ 4500rpm,5,690000
Audi Q5 35TDI Premium Plus,Audi,Audi Q5 35TDI,2018,31800,Diesel,Dealer,Automatic,First Owner,17.01 kmpl,1968 CC,188 bhp,400nm@ 1750-3000rpm,5,3975000
Lexus ES 300h,Lexus,Lexus ES 300h,2019,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5,5150000
Jaguar XF 2.0 Diesel Portfolio,Jaguar,Jaguar XF 2,2017,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,3200000
Jeep Wrangler 2016-2019 3.6 4X4,Jeep,Jeep Wrangler 2016-2019,2017,17000,Petrol,Individual,Automatic,First Owner,9.5 kmpl,3604 CC,280 bhp,347Nm@ 4300rpm,5,4100000
Land Rover Discovery Sport TD4 SE,Land,Land Rover Discovery,2019,21000,Diesel,Dealer,Automatic,First Owner,12.83 kmpl,1999 CC,148.31 bhp,382nm@ 1750-2250rpm,7,4500000
Mercedes-Benz S-Class S 350 CDI,Mercedes-Benz,Mercedes-Benz S-Class S,2017,37000,Diesel,Dealer,Automatic,First Owner,13.5 kmpl,2987 CC,254.79 bhp,620Nm@ 1600-2400rpm,5,6000000
BMW 5 Series 520d Sport Line,BMW,BMW 5 Series,2018,29500,Diesel,Dealer,Automatic,First Owner,22.48 kmpl,1995 CC,187.74 bhp,400Nm@ 1750-2500rpm,5,3790000
BMW X1 sDrive 20D xLine,BMW,BMW X1 sDrive,2017,27000,Diesel,Dealer,Automatic,First Owner,,,,,,2150000
