Company,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine_cc,max_power_bhp,seats,selling_price
others,2016,42000.0,Petrol,Individual,Manual,First Owner,4.944255937954435,1198.0,67.0,5,150000.0
Tata,2011,60000.0,Diesel,Individual,Manual,Second Owner,6.317300789662599,2179.0,138.03,7,425000.0
Maruti,2012,76000.0,Petrol,Individual,Manual,First Owner,6.335403726708074,796.0,37.0,4,150000.0
others,2019,5000.0,Petrol,Individual,Automatic,First Owner,6.375,1368.0,160.77,5,2100000.0
Honda,2018,28900.0,Petrol,Dealers,Manual,First Owner,5.730337078651686,1497.0,117.3,5,925000.0
Honda,2013,86300.0,Petrol,Dealers,Manual,First Owner,6.071428571428571,1497.0,116.3,5,425000.0
Maruti,2018,23300.0,Petrol,Dealers,Automatic,First Owner,5.513513513513514,1197.0,83.14,5,675000.0
Maruti,2018,32600.0,Diesel,Dealers,Manual,First Owner,3.6213991769547325,1248.0,88.5,5,819999.0
Maruti,2018,10300.0,Petrol,Dealers,Manual,First Owner,4.258872651356993,998.0,67.05,5,390000.0
Toyota,2014,77000.0,Diesel,Dealers,Manual,First Owner,7.01195219123506,2982.0,168.5,7,1500000.0
Toyota,2013,99000.0,Diesel,Dealers,Manual,First Owner,6.774441878367975,2494.0,100.0,7,700000.0
others,2014,27800.0,Diesel,Dealers,Automatic,Second Owner,5.945945945945945,2143.0,120.7,5,1450000.0
Honda,2015,49800.0,Diesel,Dealers,Manual,First Owner,3.562753036437247,1498.0,98.63,5,425000.0
others,2013,151000.0,Diesel,Dealers,Manual,First Owner,6.518518518518518,2477.0,175.56,7,1090000.0
Honda,2015,54700.0,Diesel,Dealers,Manual,First Owner,3.384615384615385,1498.0,98.6,5,600000.0
Maruti,2018,64000.0,Petrol,Dealers,Manual,First Owner,4.939467312348669,1462.0,103.25,5,850000.0
Honda,2015,63000.0,Diesel,Dealers,Manual,First Owner,3.2234432234432235,1498.0,98.6,5,525000.0
Toyota,2016,127700.0,Diesel,Dealers,Automatic,Second Owner,7.746478873239437,2755.0,171.5,7,1650000.0
Toyota,2016,99000.0,Diesel,Dealers,Manual,First Owner,6.774441878367975,2494.0,100.6,7,950000.0
others,2013,33900.0,Diesel,Dealers,Automatic,Second Owner,4.97737556561086,1968.0,174.33,5,1750000.0
Toyota,2018,25000.0,Petrol,Dealers,Automatic,First Owner,7.142857142857143,1798.0,138.03,5,1590000.0
others,2013,50000.0,Diesel,Dealers,Automatic,First Owner,4.749055585536967,1968.0,187.74,5,1689999.0
others,2013,59000.0,Diesel,Dealers,Automatic,First Owner,5.929919137466307,2143.0,170.0,5,1425000.0
Tata,2011,120000.0,Diesel,Individual,Manual,First Owner,4.166666666666667,1248.0,88.8,5,265000.0
Hyundai,2011,110000.0,Petrol,Individual,Manual,Third Owner,5.009823182711199,1197.0,78.9,5,190000.0
Hyundai,2013,60000.0,Diesel,Individual,Manual,First Owner,4.1372825575928545,1396.0,88.76,5,425000.0
Maruti,2015,147000.0,Diesel,Individual,Manual,Second Owner,3.3095148552087252,1248.0,74.0,5,630000.0
Ford,2017,25000.0,Petrol,Individual,Manual,Third Owner,5.616740088105726,1196.0,86.8,5,600000.0
Maruti,2019,30000.0,Petrol,Individual,Manual,First Owner,4.766355140186916,1197.0,83.1,5,650000.0
Volkswagen,2016,40000.0,Diesel,Individual,Manual,First Owner,4.0,1498.0,108.495,5,540000.0
Honda,2015,135000.0,Diesel,Individual,Manual,First Owner,3.50597609561753,1498.0,98.6,5,630000.0
Maruti,2018,30000.0,Petrol,Individual,Automatic,First Owner,4.973183812774256,998.0,67.0,5,448000.0
Volkswagen,2017,80000.0,Diesel,Individual,Manual,First Owner,4.062788550323176,1498.0,108.62,5,500000.0
Maruti,2016,70000.0,Diesel,Individual,Manual,First Owner,3.6213991769547325,1248.0,88.5,5,745000.0
Maruti,2019,9850.0,Diesel,Individual,Automatic,First Owner,3.6213991769547325,1248.0,88.5,5,1025000.0
Hyundai,2011,60000.0,Petrol,Individual,Manual,Second Owner,5.009823182711199,1197.0,78.9,5,235000.0
Maruti,2016,70000.0,Diesel,Individual,Manual,First Owner,3.492063492063492,1248.0,74.0,5,630000.0
Toyota,2015,78000.0,Diesel,Individual,Manual,Second Owner,7.01195219123506,2982.0,168.5,7,1700000.0
Maruti,2013,120000.0,Diesel,Individual,Manual,Second Owner,3.842794759825328,1248.0,74.0,5,450000.0
Maruti,2012,120000.0,Petrol,Individual,Manual,Second Owner,6.367041198501872,1373.0,93.7,7,450000.0
Volkswagen,2013,170000.0,Diesel,Individual,Manual,First Owner,4.284323271665044,1598.0,103.6,5,450000.0
Toyota,2016,140000.0,Diesel,Individual,Manual,First Owner,6.774441878367975,2494.0,100.6,8,1200000.0
Ford,2015,90000.0,Diesel,Individual,Manual,First Owner,3.864734299516908,1498.0,98.59,5,610000.0
BMW,2016,30000.0,Petrol,Individual,Automatic,Second Owner,6.492679821769573,1998.0,189.0,5,2500000.0
Maruti,2017,10000.0,Petrol,Dealers,Manual,First Owner,4.415584415584416,998.0,67.04,5,484999.0
others,2016,49000.0,Petrol,Dealers,Manual,First Owner,5.362776025236593,1198.0,67.05,5,275000.0
Maruti,2016,32000.0,Petrol,Dealers,Manual,First Owner,4.129554655870446,796.0,47.3,5,315000.0
Maruti,2016,38000.0,Petrol,Dealers,Manual,First Owner,4.129554655870446,796.0,47.3,5,275000.0
Maruti,2015,78000.0,Diesel,Dealers,Manual,First Owner,3.492063492063492,1248.0,74.0,5,475000.0
Hyundai,2012,28000.0,Petrol,Dealers,Manual,First Owner,5.1489146895507325,1086.0,68.05,5,290000.0
Maruti,2017,32000.0,Petrol,Dealers,Manual,First Owner,7.285714285714286,796.0,35.0,5,280000.0
Maruti,2010,44000.0,others,Dealers,Manual,First Owner,3.2442748091603053,998.0,58.2,5,225000.0
Volkswagen,2015,42000.0,Petrol,Dealers,Manual,First Owner,6.193078324225866,1198.0,74.0,5,455000.0
Hyundai,2015,45000.0,Petrol,Dealers,Manual,Second Owner,5.1489146895507325,1086.0,68.05,5,351000.0
Volkswagen,2012,12000.0,Petrol,Dealers,Manual,Second Owner,6.781914893617021,1598.0,103.6,5,535000.0
Maruti,2009,55500.0,Petrol,Dealers,Manual,First Owner,5.604395604395604,998.0,67.1,5,175000.0
Hyundai,2013,61500.0,Petrol,Dealers,Manual,First Owner,5.513513513513514,1197.0,82.85,5,525000.0
Maruti,2016,150000.0,Diesel,Individual,Manual,First Owner,3.3095148552087252,1248.0,74.0,5,600000.0
Hyundai,2016,72000.0,Petrol,Dealers,Automatic,First Owner,5.340314136125654,1197.0,82.0,5,565000.0
Maruti,2008,68000.0,Petrol,Dealers,Manual,Third Owner,5.177664974619289,796.0,46.3,5,120000.0
Hyundai,2017,110000.0,Diesel,Individual,Manual,First Owner,3.904170363797693,1396.0,88.73,5,725000.0
Maruti,2009,77000.0,Petrol,Dealers,Manual,Second Owner,4.681046351537403,998.0,67.05,5,185000.0
Tata,2010,100000.0,Diesel,Individual,Manual,Second Owner,4.680851063829787,1248.0,90.0,5,200000.0
Maruti,2019,10000.0,Petrol,Individual,Manual,First Owner,4.809052333804809,1197.0,81.8,5,615000.0
Maruti,2016,100000.0,Petrol,Individual,Manual,Third Owner,6.636304489264802,1196.0,73.0,7,270000.0
Maruti,2018,35000.0,Petrol,Individual,Manual,First Owner,4.766355140186916,1197.0,83.1,5,610000.0
Mahindra,2014,70000.0,Diesel,Individual,Automatic,Second Owner,7.463952502120442,2179.0,120.0,8,625000.0
Ford,2020,5000.0,Petrol,Individual,Manual,Second Owner,5.368421052631579,1194.0,94.68,5,400000.0
Hyundai,2017,37800.0,Petrol,Individual,Manual,First Owner,6.0,1591.0,121.3,5,866000.0
Volkswagen,2010,114000.0,Petrol,Individual,Manual,First Owner,7.132867132867132,1798.0,160.0,5,700000.0
Tata,2010,48000.0,Petrol,Individual,Manual,First Owner,6.4556962025316444,1172.0,65.0,5,300000.0
Mahindra,2019,32000.0,Diesel,Individual,Manual,First Owner,5.827814569536424,2179.0,155.0,7,1700000.0
Tata,2016,100000.0,Diesel,Individual,Manual,First Owner,4.609743321110529,1405.0,69.01,5,375000.0
Hyundai,2013,150000.0,Diesel,Individual,Manual,Second Owner,3.942652329749104,1582.0,126.32,5,522000.0
Hyundai,2013,69000.0,Diesel,Individual,Manual,First Owner,4.018264840182649,1396.0,88.76,5,451999.0
Toyota,2009,100000.0,Petrol,Individual,Manual,Second Owner,7.019958706125258,1798.0,138.1,5,300000.0
Maruti,2020,13000.0,Petrol,Individual,Manual,First Owner,4.715672676837726,998.0,67.04,5,475000.0
Maruti,2016,60000.0,Diesel,Individual,Manual,First Owner,3.6213991769547325,1248.0,88.5,5,780000.0
Maruti,2017,40000.0,Petrol,Individual,Manual,First Owner,4.892086330935252,1197.0,83.14,5,595000.0
Maruti,2017,35000.0,Petrol,Individual,Manual,First Owner,4.973183812774256,998.0,67.04,5,440000.0
Maruti,2010,120000.0,Diesel,Individual,Manual,Second Owner,3.492063492063492,1248.0,74.0,5,300000.0
others,2014,70000.0,Diesel,Individual,Manual,Third Owner,4.30317848410758,1461.0,83.8,5,400000.0
Hyundai,2016,50000.0,Diesel,Individual,Manual,First Owner,4.473817996949669,1582.0,126.2,5,1140000.0
Ford,2017,76139.0,Diesel,Individual,Manual,First Owner,3.8260869565217392,1498.0,98.96,5,850000.0
Maruti,2012,175000.0,Diesel,Individual,Manual,others,4.559585492227979,1248.0,73.9,5,370000.0
Renault,2018,25000.0,Petrol,Individual,Manual,First Owner,4.432855280312907,999.0,67.0,5,350000.0
Maruti,2015,40000.0,Petrol,Individual,Manual,Second Owner,4.415584415584416,998.0,67.04,5,360000.0
Maruti,2008,65000.0,Petrol,Individual,Manual,others,5.177664974619289,796.0,46.3,5,105000.0
Maruti,2013,90000.0,Diesel,Individual,Manual,Second Owner,4.236880115551276,1248.0,88.76,7,625000.0
Hyundai,2009,80000.0,Petrol,Individual,Manual,Second Owner,5.691964285714286,1086.0,62.1,5,135000.0
Maruti,2015,110000.0,Diesel,Individual,Manual,Second Owner,4.236880115551276,1248.0,88.76,7,700000.0
Honda,2019,1303.0,Petrol,Dealers,Manual,First Owner,5.730337078651686,1198.0,86.7,5,690000.0
others,2018,31800.0,Diesel,Dealers,Automatic,First Owner,5.173427395649617,1968.0,188.0,5,3975000.0
others,2019,20000.0,Petrol,Dealers,Automatic,First Owner,4.559678140366563,2487.0,214.56,5,5150000.0
others,2017,45000.0,Diesel,Dealers,Automatic,First Owner,4.55250905328505,1999.0,177.0,5,3200000.0
others,2017,17000.0,Petrol,Individual,Automatic,First Owner,10.736842105263158,3604.0,280.0,5,4100000.0
others,2019,21000.0,Diesel,Dealers,Automatic,First Owner,6.858924395946999,1999.0,148.31,7,4500000.0
others,2017,37000.0,Diesel,Dealers,Automatic,First Owner,6.518518518518518,2987.0,254.79,5,6000000.0
BMW,2018,29500.0,Diesel,Dealers,Automatic,First Owner,3.914590747330961,1995.0,187.74,5,3790000.0
BMW,2017,27000.0,Diesel,Dealers,Automatic,First Owner,5.161290322580645,1995.0,184.0,5,2150000.0
BMW,2019,7500.0,Diesel,Dealers,Automatic,First Owner,5.244338498212157,1995.0,190.0,5,5800000.0
Skoda,2018,50000.0,Petrol,Dealers,Automatic,First Owner,6.952965235173825,1798.0,177.46,5,1864999.0
others,2016,35000.0,Diesel,Dealers,Automatic,First Owner,5.866666666666666,2143.0,204.0,5,2700000.0
others,2019,19000.0,Petrol,Dealers,Automatic,First Owner,7.306590257879655,1451.0,141.0,5,1750000.0
Honda,2017,41000.0,Petrol,Dealers,Automatic,First Owner,5.666666666666666,1497.0,117.6,5,795000.0
Toyota,2013,39000.0,Petrol,Dealers,Automatic,First Owner,7.142857142857143,1798.0,138.03,5,625000.0
others,2018,22000.0,Diesel,Dealers,Automatic,First Owner,4.888888888888888,1969.0,190.0,5,3400000.0
others,2015,53000.0,Diesel,Dealers,Automatic,First Owner,7.290803645401823,2967.0,241.4,7,2650000.0
Maruti,2015,40000.0,Diesel,Dealers,Manual,First Owner,3.3574971384967567,1248.0,88.5,5,535000.0
others,2017,47000.0,Diesel,Dealers,Automatic,First Owner,6.518518518518518,2987.0,282.0,5,5850000.0
BMW,2010,72200.0,Petrol,Dealers,Automatic,Second Owner,9.444444444444445,2497.0,150.0,5,975000.0
Hyundai,2016,49900.0,Petrol,Dealers,Manual,First Owner,6.257668711656442,1797.0,147.5,5,805000.0
others,2017,9000.0,Diesel,Dealers,Automatic,First Owner,6.470588235294118,1999.0,177.0,5,2625000.0
Tata,2018,11000.0,Petrol,Dealers,Manual,First Owner,6.0,1198.0,108.5,5,811000.0
Volkswagen,2011,49000.0,Petrol,Individual,Manual,First Owner,6.781914893617021,1598.0,103.6,5,375000.0
Hyundai,2012,95000.0,Petrol,Individual,Manual,First Owner,6.257668711656442,1797.0,147.5,5,550000.0
Skoda,2016,11000.0,Petrol,Dealers,Automatic,First Owner,7.132867132867132,1598.0,103.5,5,645000.0
others,2018,18000.0,Petrol,Dealers,Automatic,First Owner,6.781914893617021,1991.0,183.0,5,2550000.0
Maruti,2014,46100.0,Petrol,Dealers,Manual,First Owner,6.367041198501872,1373.0,93.7,7,599000.0
others,2017,16000.0,Petrol,Dealers,Automatic,First Owner,6.919945725915875,1991.0,181.04,5,2700000.0
Honda,2017,18000.0,Petrol,Dealers,Automatic,First Owner,6.538461538461539,1497.0,116.3,5,875000.0
Toyota,2019,9654.0,Petrol,Dealers,Automatic,First Owner,5.214723926380368,1197.0,81.8,5,894999.0
Maruti,2011,11000.0,Petrol,Dealers,Manual,First Owner,4.258872651356993,998.0,67.05,5,175000.0
Maruti,2012,24300.0,Petrol,Dealers,Manual,First Owner,4.809052333804809,1197.0,81.8,5,340000.0
Toyota,2016,42163.0,Diesel,Dealers,Automatic,Second Owner,7.746478873239437,2755.0,171.5,7,1525000.0
Tata,2018,8000.0,Diesel,Dealers,Automatic,First Owner,4.093023255813954,1497.0,108.5,5,1025000.0
BMW,2016,30000.0,Diesel,Dealers,Automatic,First Owner,3.8783605112384305,1995.0,190.0,5,2150000.0
Toyota,2016,41000.0,Petrol,Dealers,Automatic,First Owner,5.323590814196242,2494.0,157.7,5,1900000.0
BMW,2016,12000.0,Diesel,Dealers,Automatic,First Owner,4.856512141280353,1995.0,190.0,5,2900000.0
Toyota,2009,71000.0,Petrol,Dealers,Automatic,First Owner,8.429752066115702,2362.0,164.7,5,450000.0
Maruti,2016,20000.0,Petrol,Individual,Manual,First Owner,5.828571428571428,1373.0,91.1,7,850000.0
others,2017,30000.0,Petrol,Individual,Automatic,First Owner,2.4285714285714284,1969.0,400.0,4,10000000.0
Volkswagen,2011,100000.0,Diesel,Individual,Manual,Second Owner,4.284323271665044,1598.0,103.6,5,300000.0
Ford,2018,9500.0,Petrol,Individual,Manual,First Owner,5.616740088105726,1196.0,86.8,5,575000.0
Ford,2011,120000.0,Diesel,Individual,Manual,First Owner,4.4,1399.0,68.0,5,160000.0
Maruti,2015,36600.0,Petrol,Individual,Manual,First Owner,5.000000000000001,1197.0,81.8,5,515000.0
Maruti,2015,50000.0,Petrol,Individual,Automatic,Second Owner,4.973183812774256,998.0,67.0,5,390000.0
Hyundai,2016,14000.0,Petrol,Individual,Manual,Second Owner,5.483870967741935,1197.0,81.83,5,550000.0
Maruti,1999,40000.0,Petrol,Individual,Manual,Second Owner,6.335403726708074,796.0,37.0,4,40000.0
Maruti,2010,120000.0,Diesel,Individual,Manual,First Owner,4.170616113744075,1248.0,73.9,5,220000.0
Hyundai,2015,70000.0,Petrol,Individual,Manual,First Owner,5.396825396825397,1197.0,82.0,5,425000.0
Volkswagen,2019,13000.0,Petrol,Individual,Manual,First Owner,5.246913580246913,999.0,75.0,5,480000.0
Hyundai,2014,60000.0,Petrol,Individual,Manual,Second Owner,5.396825396825397,1197.0,82.0,5,400000.0
Maruti,2014,35000.0,Petrol,Individual,Manual,First Owner,5.340314136125654,1197.0,85.8,5,487000.0
Hyundai,2016,44000.0,Petrol,Individual,Manual,Second Owner,5.340314136125654,1197.0,82.0,5,386000.0
Honda,2005,120000.0,Petrol,Individual,Manual,Second Owner,7.846153846153847,1493.0,100.0,5,100000.0
Toyota,2010,60000.0,Diesel,Individual,Manual,First Owner,4.106392907139524,1364.0,87.2,5,300000.0
others,2000,60000.0,Petrol,Individual,Manual,First Owner,5.513513513513514,796.0,53.0,5,100000.0
Toyota,2014,30000.0,Diesel,Individual,Manual,Second Owner,6.76923076923077,2982.0,168.5,7,1750000.0
Mahindra,2016,15000.0,Petrol,Individual,Manual,Second Owner,5.619834710743802,1198.0,82.0,6,450000.0
Tata,2017,90000.0,Diesel,Individual,Manual,First Owner,3.8344226579520697,1248.0,74.0,5,490000.0
Honda,2009,47000.0,Petrol,Individual,Manual,Second Owner,6.0,1497.0,118.0,5,345000.0
Maruti,2005,90000.0,Petrol,Individual,Manual,First Owner,5.895953757225433,993.0,60.0,5,85000.0
Maruti,2010,120600.0,Petrol,Individual,Manual,Second Owner,5.396825396825397,998.0,67.1,5,215000.0
Hyundai,2010,100000.0,Petrol,Individual,Manual,Third Owner,6.296296296296297,1599.0,103.2,5,320000.0
Maruti,2016,60000.0,Petrol,Individual,Manual,Second Owner,4.892086330935252,1197.0,83.14,5,459999.0
Hyundai,2005,86000.0,Petrol,Individual,Manual,First Owner,6.666666666666667,1341.0,83.0,5,65000.0
Hyundai,2020,5000.0,Petrol,Individual,Manual,First Owner,5.483870967741935,1197.0,81.86,5,720000.0
Maruti,2017,37000.0,Diesel,Individual,Manual,First Owner,3.132787468850125,1248.0,88.5,5,800000.0
Tata,2019,14000.0,Petrol,Individual,Manual,First Owner,5.024630541871921,1199.0,84.0,5,520000.0
Maruti,2015,70000.0,Diesel,Individual,Manual,First Owner,4.236880115551276,1248.0,88.76,7,580000.0
Toyota,2012,120000.0,Diesel,Individual,Manual,First Owner,3.7303942348452734,1364.0,67.05,5,235000.0
Honda,2015,50000.0,Petrol,Individual,Manual,First Owner,5.862068965517242,1497.0,117.3,5,600000.0
Honda,2014,60000.0,Petrol,Individual,Manual,Second Owner,5.2577319587628875,1198.0,86.8,5,290000.0
Maruti,2016,50000.0,others,Individual,Manual,First Owner,3.195488721804511,998.0,58.16,5,360000.0
Maruti,2017,50000.0,Petrol,Individual,Manual,First Owner,4.892086330935252,1197.0,83.14,5,550000.0
Hyundai,2013,70000.0,Petrol,Individual,Manual,First Owner,5.513513513513514,1197.0,82.85,5,375000.0
Maruti,2003,90000.0,Petrol,Individual,Manual,Second Owner,6.071428571428571,796.0,34.2,8,40000.0
Maruti,2018,35000.0,Petrol,Individual,Automatic,First Owner,4.973183812774256,998.0,67.0,5,420000.0
Maruti,2017,20000.0,Petrol,Individual,Manual,First Owner,4.809052333804809,1197.0,81.8,5,550000.0
Maruti,2018,20000.0,Petrol,Individual,Manual,First Owner,4.129554655870446,796.0,47.3,5,270000.0
Maruti,2018,7800.0,Petrol,Individual,Automatic,First Owner,4.636363636363637,1197.0,81.8,5,700000.0
Maruti,2017,20000.0,Petrol,Individual,Manual,First Owner,5.000000000000001,1197.0,81.8,5,500000.0
Tata,2019,15000.0,Diesel,Individual,Manual,First Owner,5.0,2179.0,147.94,7,1250000.0
Hyundai,2013,31377.0,Petrol,Individual,Manual,Second Owner,5.513513513513514,1197.0,82.85,5,320000.0
Maruti,2018,50000.0,Diesel,Individual,Manual,First Owner,3.098591549295775,1248.0,74.02,5,700000.0
Maruti,2015,60000.0,Petrol,Individual,Manual,First Owner,4.973183812774256,998.0,67.04,5,290000.0
Toyota,2012,100000.0,Petrol,Individual,Automatic,First Owner,7.019958706125258,1794.0,138.1,5,550000.0
Honda,2012,60000.0,Petrol,Individual,Manual,First Owner,5.2577319587628875,1198.0,86.8,5,265000.0
Maruti,2018,5000.0,Petrol,Individual,Automatic,First Owner,4.766355140186916,1197.0,83.1,5,830000.0
Tata,2017,60000.0,Diesel,Individual,Manual,First Owner,6.24113475177305,2179.0,147.94,7,800000.0
Maruti,2011,25000.0,Petrol,Individual,Manual,Second Owner,5.177664974619289,796.0,46.3,5,160000.0
Renault,2018,30000.0,Petrol,Individual,Manual,First Owner,4.052443384982121,799.0,53.3,5,335000.0
others,2017,80000.0,Petrol,Individual,Manual,Second Owner,4.944255937954435,1198.0,67.0,5,329000.0
Maruti,2017,75000.0,Diesel,Individual,Manual,First Owner,3.6213991769547325,1248.0,88.5,5,775000.0
Hyundai,2020,32000.0,Petrol,Individual,Manual,First Owner,5.06454816285998,1197.0,81.86,5,524000.0
Maruti,2015,40000.0,Petrol,Individual,Manual,First Owner,4.485488126649077,796.0,47.3,5,245000.0
Hyundai,2012,93000.0,Petrol,Individual,Manual,Second Owner,6.0,1197.0,80.0,5,275000.0
Tata,2018,60000.0,Petrol,Individual,Manual,First Owner,5.805350028457598,1193.0,88.7,5,520000.0
others,2014,37000.0,Petrol,Individual,Manual,First Owner,6.017699115044247,1498.0,97.7,5,550000.0
Ford,2018,15000.0,Petrol,Individual,Manual,First Owner,6.0,1497.0,121.36,5,910000.0
others,2015,80000.0,Petrol,Individual,Manual,First Owner,5.233453052847614,1198.0,67.04,5,300000.0
Maruti,2016,140000.0,Petrol,Individual,Manual,First Owner,4.973183812774256,998.0,67.04,5,350000.0
Mahindra,2013,70000.0,Diesel,Individual,Manual,First Owner,6.858924395946999,2696.0,162.0,7,900000.0
Mahindra,2013,120000.0,Diesel,Individual,Manual,Second Owner,5.113306217315514,1493.0,100.0,7,300000.0
Maruti,2010,110000.0,Diesel,Individual,Manual,Second Owner,4.170616113744075,1248.0,73.9,5,250000.0
Hyundai,2017,37000.0,Diesel,Individual,Manual,First Owner,4.473817996949669,1582.0,126.2,5,1100000.0
Renault,2016,44000.0,Petrol,Individual,Manual,First Owner,4.052443384982121,799.0,53.3,5,270000.0
Maruti,2015,80000.0,Diesel,Individual,Manual,First Owner,4.236880115551276,1248.0,88.76,7,640000.0
Mahindra,2015,125000.0,Diesel,Individual,Manual,First Owner,5.827814569536424,2179.0,140.0,7,650000.0
Maruti,2017,13500.0,Petrol,Individual,Manual,First Owner,6.636304489264802,1196.0,73.0,5,409999.0
Hyundai,2011,75000.0,Petrol,Individual,Manual,First Owner,5.691964285714286,1086.0,62.1,5,165000.0
Hyundai,2007,120000.0,Petrol,Individual,Manual,Second Owner,7.7272727272727275,1495.0,94.0,5,80000.0
Mahindra,2012,120000.0,Diesel,Individual,Manual,First Owner,5.827814569536424,2179.0,140.0,7,535000.0
Toyota,2013,70000.0,Diesel,Individual,Manual,First Owner,6.774441878367975,2494.0,100.57,7,700000.0
Maruti,2013,70000.0,Diesel,Individual,Manual,First Owner,3.7606837606837606,1248.0,74.0,5,550000.0
Honda,2019,15000.0,Petrol,Individual,Automatic,First Owner,5.368421052631579,1199.0,88.76,5,680000.0
Hyundai,2009,53000.0,Petrol,Individual,Manual,Second Owner,5.009823182711199,1197.0,78.9,5,200000.0
Maruti,2014,120000.0,Diesel,Individual,Manual,Second Owner,3.7606837606837606,1248.0,74.0,5,500000.0
Maruti,2016,70000.0,Diesel,Individual,Manual,First Owner,3.5889070146818924,1248.0,88.5,7,1000000.0
Hyundai,2008,120000.0,Petrol,Individual,Manual,Second Owner,7.183098591549296,1341.0,82.9,5,110000.0
Hyundai,2012,100000.0,Petrol,Individual,Manual,Second Owner,5.513513513513514,1197.0,80.0,5,320000.0
Maruti,2015,100000.0,Petrol,Individual,Manual,First Owner,5.000000000000001,1197.0,83.11,5,350000.0
Tata,2013,162500.0,Diesel,Individual,Manual,First Owner,4.536082474226805,1405.0,70.0,5,170000.0
