Company,Car,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine_cc,max_power_bhp,torque,seats,selling_price
Maruti,Maruti Swift VDI,2009,70000.0,Diesel,Individual,Manual,Second Owner,,,,,,270000.0
Maruti,Maruti Swift VDI,2010,150000.0,Diesel,Individual,Manual,Second Owner,,,,,,256999.0
Toyota,Toyota Qualis GS,2003,149032.0,Diesel,Individual,Manual,First Owner,,,,,,200000.0
Toyota,Toyota Etios Liva,2011,84050.0,Petrol,Individual,Manual,First Owner,,,,,,210000.0
Toyota,Toyota Etios V,2011,28100.0,Petrol,Individual,Manual,First Owner,,,,,,420000.0
Maruti,Maruti Omni E,2005,100000.0,Petrol,Individual,Manual,Second Owner,,,,,,120000.0
Hyundai,Hyundai Santro Xing,2004,158000.0,Petrol,Individual,Manual,First Owner,,,,,,70000.0
Maruti,Maruti Swift VDI,2011,50000.0,Diesel,Individual,Manual,First Owner,,,,,,295000.0
Fiat,Fiat Punto 1.3,2010,120000.0,Diesel,Individual,Manual,Second Owner,,,,,,190000.0
Toyota,Toyota Etios GD,2012,148000.0,Diesel,Individual,Manual,Second Owner,,,,,,450000.0
Hyundai,Hyundai Santro Xing,2005,82000.0,Petrol,Individual,Manual,Fourth & Above Owner,,,,,,90000.0
Hyundai,Hyundai Santro Xing,2005,53563.0,Petrol,Dealer,Manual,Second Owner,,,,,,110000.0
Maruti,Maruti Omni E,2005,59635.0,Petrol,Dealer,Manual,Second Owner,,,,,,105000.0
Maruti,Maruti Omni LPG,2008,58632.0,LPG,Dealer,Manual,Second Owner,,,,,,110000.0
Hyundai,Hyundai Santro Xing,2005,123219.0,Petrol,Individual,Manual,Third Owner,,,,,,80000.0
Honda,Honda City 1.5,2005,90000.0,Petrol,Individual,Automatic,Second Owner,,,,,,250000.0
Tata,Tata Indica Vista,2012,70000.0,Diesel,Individual,Manual,First Owner,,,0.0,,,240000.0
Tata,Tata Indica Vista,2012,70000.0,Diesel,Individual,Manual,First Owner,,,0.0,,,240000.0
Maruti,Maruti Swift VDI,2011,120000.0,Diesel,Individual,Manual,Second Owner,,,,,,320000.0
Toyota,Toyota Etios GD,2012,90000.0,Diesel,Individual,Manual,First Owner,,,,,,500000.0
Ford,Ford Fiesta 1.6,2006,145000.0,Petrol,Individual,Manual,First Owner,,,,,,130000.0
Toyota,Toyota Qualis GS,2002,275000.0,Diesel,Individual,Manual,Fourth & Above Owner,,,,,,210000.0
Hyundai,Hyundai Santro Xing,2004,100000.0,Petrol,Individual,Automatic,Second Owner,,,,,,130000.0
Mahindra,Mahindra Jeep MM,2005,30000.0,Diesel,Individual,Manual,Second Owner,,,,,,400000.0
Ford,Ford Fiesta 1.4,2009,100000.0,Diesel,Individual,Manual,Third Owner,,,,,,130000.0
Toyota,Toyota Etios GD,2012,120000.0,Diesel,Individual,Manual,First Owner,,,,,,320000.0
Toyota,Toyota Premio Base,2004,120000.0,Petrol,Individual,Manual,Second Owner,,,,,,170000.0
Hyundai,Hyundai Santro Xing,2006,90000.0,Petrol,Individual,Manual,Second Owner,,,,,,75000.0
Toyota,Toyota Etios GD,2011,80000.0,Diesel,Individual,Manual,First Owner,,,,,,375000.0
Hyundai,Hyundai Santro GLS,1999,140000.0,Petrol,Individual,Manual,Third Owner,,,,,,60000.0
Mahindra,Mahindra Bolero LX,2006,120000.0,Diesel,Individual,Manual,First Owner,,,,,,210000.0
Maruti,Maruti Swift VDI,2017,38000.0,Diesel,Dealer,Manual,Second Owner,,,,,,525000.0
Ford,Ford Fiesta 1.6,2011,53287.0,Petrol,Dealer,Manual,First Owner,,,,,,325000.0
Toyota,Toyota Etios Liva,2012,40000.0,Petrol,Individual,Manual,Third Owner,,,,,,350000.0
Tata,Tata Estate Std,1999,80000.0,Diesel,Individual,Manual,Third Owner,,,,,,78000.0
Toyota,Toyota Etios GD,2012,90000.0,Diesel,Individual,Manual,First Owner,,,,,,415000.0
Toyota,Toyota Etios Liva,2012,100000.0,Diesel,Individual,Manual,Second Owner,,,,,,280000.0
Hyundai,Hyundai Santro Xing,2006,9558.0,Petrol,Individual,Manual,First Owner,,,,,,150000.0
Volkswagen,Volkswagen Multivan TDI,2011,50000.0,Diesel,Individual,Manual,Second Owner,,,,,,2150000.0
Hyundai,Hyundai Santro GLS,2006,100000.0,Petrol,Individual,Manual,Second Owner,,,,,,140000.0
Maruti,Maruti Omni E,2009,140000.0,Petrol,Individual,Manual,First Owner,,,,,,120000.0
Maruti,Maruti Omni E,2010,170000.0,Petrol,Individual,Manual,Second Owner,,,,,,120000.0
Hyundai,Hyundai Santro Xing,2003,68300.0,Petrol,Individual,Manual,Third Owner,,,,,,85000.0
Toyota,Toyota Etios Liva,2012,100000.0,Diesel,Individual,Manual,First Owner,,,,,,315000.0
Hyundai,Hyundai Santro Xing,2007,64000.0,Petrol,Individual,Manual,First Owner,,,,,,90000.0
Tata,Tata Indica DLS,2005,50000.0,Diesel,Individual,Manual,Second Owner,,,,,,95000.0
Hyundai,Hyundai Santro Xing,2006,80000.0,Petrol,Individual,Manual,Second Owner,,,,,,70000.0
Toyota,Toyota Etios Liva,2012,100000.0,Diesel,Individual,Manual,First Owner,,,,,,315000.0
Maruti,Maruti Swift VDI,2011,160000.0,Diesel,Individual,Manual,Second Owner,,,,,,340000.0
Maruti,Maruti Swift VDI,2010,134000.0,Diesel,Individual,Manual,Second Owner,,,,,,240000.0
Maruti,Maruti Esteem LX,2008,86000.0,Petrol,Individual,Manual,Second Owner,,,,,,75000.0
Hyundai,Hyundai Santro LE,2001,80000.0,Petrol,Individual,Manual,Second Owner,,,,,,33983.0
Mahindra,Mahindra Jeep MM,1998,47990.0,Diesel,Individual,Manual,Second Owner,,,,,,210000.0
Hyundai,Hyundai Santro Xing,2006,100000.0,Petrol,Individual,Manual,Second Owner,,,,,,150000.0
Hyundai,Hyundai Santro Xing,2005,125000.0,Petrol,Individual,Manual,Fourth & Above Owner,,,,,,95000.0
Hyundai,Hyundai Santro Xing,2007,120000.0,Petrol,Individual,Manual,Second Owner,,,,,,200000.0
Maruti,Maruti Swift VDI,2009,120000.0,Diesel,Individual,Manual,Fourth & Above Owner,,,,,,210000.0
Hyundai,Hyundai Santro GLS,2001,70000.0,Petrol,Individual,Manual,Second Owner,,,,,,52000.0
Hyundai,Hyundai Santro GS,2001,71000.0,Petrol,Individual,Manual,Second Owner,,,,,,60000.0
Hyundai,Hyundai Santro LE,2002,184000.0,Petrol,Individual,Manual,Second Owner,,,,,,35000.0
Toyota,Toyota Etios V,2011,167000.0,Petrol,Individual,Manual,First Owner,,,,,,270000.0
Toyota,Toyota Etios V,2011,167000.0,Petrol,Individual,Manual,First Owner,,,,,,270000.0
Maruti,Maruti Swift VDI,2006,80000.0,Diesel,Individual,Manual,First Owner,,,,,,150000.0
Hyundai,Hyundai Santro Xing,2006,60898.0,Petrol,Individual,Manual,First Owner,,,,,,95000.0
Maruti,Maruti Swift 1.3,2007,60000.0,Petrol,Individual,Manual,Third Owner,,,,,,250000.0
Maruti,Maruti Omni LPG,1999,100000.0,LPG,Individual,Manual,Fourth & Above Owner,,,,,,70000.0
Toyota,Toyota Etios GD,2012,158500.0,Diesel,Individual,Manual,Third Owner,,,,,,400000.0
Toyota,Toyota Etios Liva,2012,107500.0,Diesel,Individual,Manual,Second Owner,,,,,,400000.0
Maruti,Maruti Swift 1.3,2009,25000.0,Petrol,Individual,Manual,First Owner,,,,,,220000.0
Fiat,Fiat Punto 1.3,2009,153000.0,Diesel,Individual,Manual,Second Owner,,,,,,150000.0
Ford,Ford Fiesta 1.6,2011,53287.0,Petrol,Dealer,Manual,First Owner,,,,,,325000.0
Maruti,Maruti Omni CNG,2000,100000.0,CNG,Individual,Manual,Second Owner,10.9,796.0,,,8.0,80000.0
Toyota,Toyota Qualis GS,2004,218000.0,Diesel,Individual,Manual,Second Owner,,,,,,215000.0
Maruti,Maruti Swift VDI,2009,110000.0,Diesel,Individual,Manual,First Owner,,,,,,210000.0
Fiat,Fiat Palio 1.2,2006,35000.0,Petrol,Individual,Manual,First Owner,,,,,,80000.0
Toyota,Toyota Qualis FS,2000,250000.0,Diesel,Individual,Manual,Fourth & Above Owner,,,,,,100000.0
Hyundai,Hyundai Santro Xing,2004,90000.0,Petrol,Individual,Automatic,Second Owner,,,,,,80000.0
Toyota,Toyota Etios GD,2012,100000.0,Diesel,Individual,Manual,First Owner,,,,,,311000.0
Maruti,Maruti Omni LPG,1991,120000.0,LPG,Individual,Manual,Second Owner,,,,,,55000.0
Maruti,Maruti Swift VDI,2008,90000.0,Diesel,Individual,Manual,Third Owner,,,,,,250000.0
Maruti,Maruti Esteem Lxi,2002,90000.0,Petrol,Individual,Manual,Third Owner,,,,,,95000.0
Mahindra,Mahindra Jeep CL,1997,100000.0,Diesel,Individual,Manual,Fourth & Above Owner,,,,,,160000.0
Ford,Ford Figo Aspire,2017,40000.0,Diesel,Individual,Manual,First Owner,,,,,,600000.0
Maruti,Maruti Swift 1.3,2008,90000.0,Petrol,Individual,Manual,First Owner,,,,,,200000.0
Mahindra,Mahindra Marshal DI,2000,50000.0,Diesel,Individual,Manual,First Owner,,,,,,150000.0
Tata,Tata Indica DLS,2006,77000.0,Diesel,Individual,Manual,First Owner,,,,,,170000.0
Maruti,Maruti Swift VDI,2008,120000.0,Diesel,Individual,Manual,Fourth & Above Owner,,,,,,225000.0
Mahindra,Mahindra Bolero LX,2005,15000.0,Diesel,Individual,Manual,Second Owner,,,,,,350000.0
Hyundai,Hyundai Santro AT,2005,190000.0,Petrol,Individual,Automatic,Second Owner,,,,,,120000.0
Maruti,Maruti Swift VDI,2016,72000.0,Diesel,Dealer,Manual,First Owner,,,,,,565000.0
Hyundai,Hyundai Santro Xing,2006,60000.0,Petrol,Individual,Manual,Third Owner,,,,,,105000.0
Toyota,Toyota Etios Liva,2012,120000.0,Diesel,Individual,Manual,Second Owner,,,,,,275000.0
Tata,Tata Indica DLX,2003,70000.0,Diesel,Individual,Manual,First Owner,,,,,,40000.0
Hyundai,Hyundai Santro DX,2003,120000.0,Petrol,Individual,Manual,Third Owner,,,,,,55000.0
Toyota,Toyota Etios Liva,2012,150000.0,Diesel,Individual,Manual,First Owner,,,,,,405000.0
Maruti,Maruti Swift 1.3,2007,80000.0,Petrol,Individual,Manual,Fourth & Above Owner,,,,,,150000.0
Ford,Ford Fiesta 1.4,2009,163000.0,Diesel,Dealer,Manual,First Owner,,,,,,180000.0
Maruti,Maruti Swift VDI,2011,160000.0,Diesel,Individual,Manual,First Owner,,,,,,350000.0
Maruti,Maruti Swift 1.3,2009,50000.0,Petrol,Individual,Manual,First Owner,,,,,,180000.0
Hyundai,Hyundai Santro LP,2002,60000.0,Petrol,Individual,Manual,First Owner,,,,,,56000.0
Maruti,Maruti Swift 1.3,2011,85000.0,Petrol,Individual,Manual,First Owner,,,,,,320000.0
Maruti,Maruti Swift VDI,2017,38000.0,Diesel,Dealer,Manual,Second Owner,,,,,,525000.0
Hyundai,Hyundai Santro Xing,2004,80000.0,Petrol,Individual,Manual,Third Owner,,,,,,85000.0
Toyota,Toyota Etios GD,2012,140000.0,Diesel,Individual,Manual,Second Owner,,,,,,390000.0
Toyota,Toyota Etios GD,2012,135000.0,Diesel,Individual,Manual,Third Owner,,,,,,434999.0
Maruti,Maruti Swift VDI,2010,166000.0,Diesel,Individual,Manual,Second Owner,,,,,,350000.0
Hyundai,Hyundai Santro GLS,2009,56000.0,Petrol,Dealer,Manual,Second Owner,,,,,,195000.0
Maruti,Maruti Swift 1.3,2005,158107.0,Petrol,Individual,Manual,Second Owner,,,,,,105000.0
Hyundai,Hyundai Santro LS,2002,75000.0,Petrol,Individual,Manual,Second Owner,,,,,,35000.0
Maruti,Maruti Swift 1.3,2005,100000.0,Petrol,Individual,Manual,First Owner,,,,,,85000.0
Maruti,Maruti Omni E,2009,120000.0,Petrol,Individual,Manual,First Owner,,,,,,120000.0
Hyundai,Hyundai Santro Xing,2006,100000.0,Petrol,Individual,Automatic,Second Owner,,,,,,95000.0
Maruti,Maruti Swift 1.3,2008,80000.0,Petrol,Individual,Manual,Second Owner,,,,,,200000.0
Maruti,Maruti Estilo LXI,2010,27000.0,Petrol,Individual,Manual,First Owner,,,,,,200000.0
Hyundai,Hyundai Santro AT,2003,74770.0,CNG,Individual,Manual,Third Owner,,,,,,130000.0
BMW,BMW 5 Series,2008,70000.0,Diesel,Individual,Automatic,Third Owner,,,,,,890000.0
Ford,Ford Ikon 1.8,2005,90000.0,Diesel,Individual,Manual,Third Owner,,,,,,130000.0
Hyundai,Hyundai Santro Xing,2011,120000.0,CNG,Individual,Manual,Fourth & Above Owner,,,,,,170000.0
Hyundai,Hyundai Santro LP,2003,70000.0,Petrol,Individual,Manual,Second Owner,,,,,,68000.0
Peugeot,Peugeot 309 GLD,1997,110000.0,Diesel,Individual,Manual,Third Owner,,,,,,57000.0
Hyundai,Hyundai Santro GLS,2000,90000.0,Petrol,Individual,Manual,Third Owner,,,,,,30000.0
Hyundai,Hyundai Santro GLS,2007,60000.0,Petrol,Individual,Manual,Third Owner,,,,,,150000.0
Tata,Tata Indica Vista,2010,87000.0,Diesel,Individual,Manual,First Owner,,,,,,180000.0
Mahindra,Mahindra Bolero GLX,2006,120000.0,Diesel,Individual,Manual,Second Owner,,,,,,200000.0
Maruti,Maruti Swift VDI,2009,120000.0,Diesel,Individual,Manual,First Owner,,,,,,370000.0
Tata,Tata Indica Vista,2012,100000.0,Diesel,Individual,Manual,Second Owner,,,,,,250000.0
Hyundai,Hyundai Santro Xing,2007,70000.0,Petrol,Individual,Manual,Third Owner,,,,,,100000.0
Toyota,Toyota Etios Liva,2012,120000.0,Petrol,Individual,Manual,Second Owner,,,,,,200000.0
Hyundai,Hyundai Santro Xing,2010,40000.0,Petrol,Individual,Manual,Second Owner,,,,,,140000.0
Maruti,Maruti Swift 1.3,2010,83000.0,Petrol,Individual,Manual,Second Owner,,,,,,175000.0
Hyundai,Hyundai Santro Xing,2005,89500.0,Petrol,Individual,Manual,First Owner,,,,,,99000.0
Tata,Tata Indica DLS,2005,100000.0,Diesel,Individual,Manual,Fourth & Above Owner,,,,,,60000.0
Maruti,Maruti Estilo LXI,2009,63000.0,Petrol,Individual,Manual,Third Owner,,,,,,155000.0
Toyota,Toyota Etios VD,2012,74500.0,Diesel,Individual,Manual,First Owner,,,,,,400000.0
Maruti,Maruti Swift 1.3,2005,50000.0,Petrol,Individual,Manual,First Owner,,,,,,170000.0
Maruti,Maruti Swift VDI,2010,72179.0,Diesel,Dealer,Manual,First Owner,,,,,,352000.0
Maruti,Maruti Swift VDI,2016,77321.0,Diesel,Dealer,Manual,First Owner,,,,,,595000.0
Hyundai,Hyundai Accent Gvs,2003,120000.0,Petrol,Individual,Manual,Third Owner,,,,,,70000.0
Maruti,Maruti Swift 1.3,2009,91000.0,Petrol,Individual,Manual,Second Owner,,,,,,198000.0
Maruti,Maruti Swift VDI,2010,70000.0,Diesel,Individual,Manual,Third Owner,,,,,,300000.0
Ford,Ford Figo Aspire,2018,14681.0,Diesel,Dealer,Manual,First Owner,,,,,,624000.0
Maruti,Maruti Esteem Lxi,2002,90000.0,Petrol,Individual,Manual,Third Owner,,,,,,95000.0
Maruti,Maruti Estilo LXI,2008,56000.0,Petrol,Individual,Manual,Third Owner,,,,,,160000.0
Fiat,Fiat Palio 1.2,2003,50000.0,Petrol,Individual,Manual,Second Owner,,,,,,70000.0
Maruti,Maruti Swift 1.3,2006,110000.0,Petrol,Individual,Manual,Third Owner,,,,,,229999.0
Maruti,Maruti Swift 1.3,2006,90000.0,Petrol,Individual,Manual,Fourth & Above Owner,,,,,,215000.0
Hyundai,Hyundai Santro Xing,2006,60000.0,Petrol,Individual,Manual,Third Owner,,,,,,105000.0
Maruti,Maruti Swift VDI,2014,50000.0,Diesel,Individual,Manual,First Owner,,,,,,217000.0
Maruti,Maruti Omni E,2008,70000.0,Petrol,Individual,Manual,Fourth & Above Owner,,,,,,125000.0
Hyundai,Hyundai Santro Xing,2004,70000.0,Petrol,Individual,Manual,Second Owner,,,,,,70000.0
Toyota,Toyota Qualis Fleet,2000,100000.0,Diesel,Individual,Manual,First Owner,,,,,,200000.0
Hyundai,Hyundai Santro LS,2000,50000.0,Petrol,Individual,Manual,Second Owner,,,,,,140000.0
Hyundai,Hyundai Santro Xing,2006,80000.0,Petrol,Individual,Manual,Second Owner,,,,,,145000.0
Ford,Ford Figo Aspire,2017,165000.0,Diesel,Individual,Manual,First Owner,,,,,,580000.0
Maruti,Maruti Swift 1.3,2006,100000.0,Petrol,Individual,Manual,Second Owner,,,,,,130000.0
